,Year_approx,Lake_name,Glacier_name,GL_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Lake_type,Transboundary,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Repeat
421,2007.0,Lang Co,Unnamed Glacier in China,GL091807E27828N,27.828,91.807,4294.0,27.821,91.755,2437.0,Moraine dammed,1,China,TAR,Yarlung Tsangpo,Missing,Missing,Missing,0
422,2007.0,Ghulkin,Ghulkin,Ephemeral,36.420236,74.858404,2692.0,36.25575128013085,74.28681623205922,2357.9821625344352,Supraglacial,0,Pakistan,Gilgit - Baltistan,Hunza,Missing,Intense rainfall,Missing,1
423,2007.0,Halji,Halji,Ephemeral,30.27,81.475,5347.0,30.219,81.514,3706.0,Supraglacial,1,Nepal,Karnali,Humla,Missing,Missing,Missing,1
424,2007.0,Sonoghore,Sonoghore,Ephemeral,36.226,72.416,3779.0,36.27,72.402,2260.0,Water pocket,1,Pakistan,Khyber Pakhtunkhwa,Chitral,Missing,Missing,Missing,0
425,2008.0,Kyagar,Unnamed Glacier in China,GL077181E35675N,35.677371,77.190788,4880.0,37.982034,76.877846,1450.0,Ice dammed,0,China,Xinjiang,Yarkant,Surging glacier,Missing,Missing,1
426,2008.0,Merzbacher,Southern Inylshek,GL079841E42200N,42.196,79.847,3271.0,42.46940061764706,74.87776640392157,2214.0254901960784,Ice dammed,0,Kyrgyzstan,Kyrgyzstan,Inylchek,Missing,Missing,Subglacial tunnel,1
427,2008.0,Passu,Passu,GL074879E36458N,36.457073,74.879432,2562.0,36.25575128013085,74.28681623205922,2357.9821625344352,Moraine dammed,0,Pakistan,Gilgit - Baltistan,Hunza,Missing,Intense rainfall,Missing,0
428,2008.0,Western Zyndan,Western Zyndan,GL077029E41947N,41.9478,77.0299,3645.0,42.064877,76.9957,2020.0,Moraine dammed,0,Kyrgyzstan,Kyrgyzstan,Zymdan,Missing,Missing,Ice core thawing,0
429,2008.0,Ghulkin,Ghulkin ,Ephemeral,36.420236,74.879432,2692.0,36.25575128013085,74.28681623205922,2357.9821625344352,Supraglacial,0,Pakistan,Gilgit - Baltistan,Hunza,Missing,Intense rainfall,Missing,1
430,2008.0,Ghulkin,Ghulkin ,Ephemeral,36.420236,74.879432,2692.0,36.25575128013085,74.28681623205922,2357.9821625344352,Supraglacial,0,Pakistan,Gilgit - Baltistan,Hunza,Missing,Intense rainfall,Missing,1
431,2008.0,Ghulkin,Ghulkin ,Ephemeral,36.420236,74.879432,2692.0,36.25575128013085,74.28681623205922,2357.9821625344352,Supraglacial,0,Pakistan,Gilgit - Baltistan,Hunza,Missing,Intense rainfall,Missing,1
432,2008.0,Ghulkin,Ghulkin ,Ephemeral,36.420236,74.879432,2692.0,36.25575128013085,74.28681623205922,2357.9821625344352,Supraglacial,0,Pakistan,Gilgit - Baltistan,Hunza,Missing,High temperatures,Missing,1
433,2008.0,Halji,Halji,Ephemeral,30.27,81.475,5347.0,30.219,81.514,3706.0,Supraglacial,1,Nepal,Karnali,Humla,Missing,Missing,Missing,1
434,2009.0,Kyagar,Unnamed Glacier in China,GL077181E35675N,35.677371,77.190788,4880.0,37.982034,76.877846,1450.0,Ice dammed,0,China,Xinjiang,Yarkant,Surging glacier,Missing,Missing,1
435,2009.0,Merzbacher,Southern Inylshek,GL079841E42200N,42.196,79.847,3271.0,42.46940061764706,74.87776640392157,2214.0254901960784,Ice dammed,0,Kyrgyzstan,Kyrgyzstan,Inylchek,Missing,Missing,Subglacial tunnel,1
436,2009.0,Zhemai Co,Unnamed Glacier in China,GL092343E28015N,28.015,92.343,5300.0,28.032,92.348,4880.0,Moraine dammed,0,China,TAR,Cona,Missing,Missing,Missing,0
437,2009.0,Cuoga,Unnamed Glacier in China,GL094001E30829N,30.83,94.0,4737.0,30.692,93.963,3990.0,Moraine dammed,0,China,TAR,Bianba,Missing,Ice avalanche,Missing,0
438,2009.0,Hinarchi,Hinarchi,Ephemeral,36.042964,74.570562,2637.0,36.013842,74.543607,2281.0,Supraglacial,0,Pakistan,Gilgit - Baltistan,Bagrot,Missing,Missing,Missing,1
439,2009.0,Ghulkin,Ghulkin ,Ephemeral,36.420236,74.879432,2692.0,36.25575128013085,74.28681623205922,2357.9821625344352,Supraglacial,0,Pakistan,Gilgit - Baltistan,Hunza,Missing,Intense rainfall,Missing,1
440,2009.0,Halji,Halji,Ephemeral,30.27,81.475,5347.0,30.219,81.514,3706.0,Supraglacial,1,Nepal,Karnali,Humla,Missing,Missing,Missing,1
441,2009.0,Tshojo Tsho,Tshojo ,Ephemeral,28.055,90.146,4040.0,28.05,90.14,3898.0,Supraglacial,1,Bhutan,Punakha,Pho Chhu ,Missing,Missing,Ice core thawing,0
442,2010.0,Merzbacher,Southern Inylshek,GL079841E42200N,42.196,79.847,3271.0,42.46940061764706,74.87776640392157,2214.0254901960784,Ice dammed,0,Kyrgyzstan,Kyrgyzstan,Inylchek,Missing,Missing,Subglacial tunnel,1
443,2010.0,Kuturgansuu,Kuturgansuu,Ephemeral,42.522,74.609,3470.0,42.535,74.658,2170.0,Moraine dammed,0,Kyrgyzstan,Kyrgyzstan,Alamedin,Missing,Missing,Missing,1
444,2010.0,Chorog,Unnamed Glacier in India,GL078485E33033N,33.033,78.484,5766.0,33.193,78.61,4151.0,Moraine dammed,1,India,Ladakh,Upper Indus,Missing,High temperatures,Missing,0
445,2010.0,Geiqu,Unnamed Glacier in China,GL087985E27952N,27.951215,87.98544,5492.0,28.002,87.952,4845.0,Moraine dammed,1,China,TAR,Pumqu,Missing,Intense rainfall,Missing,0
446,2010.0,Hundur,Hundur,Ephemeral,36.546,73.353,4000.0,36.515414,73.420923,2495.0,Supraglacial,0,Pakistan,Gilgit - Baltistan,Yasin,Missing,Missing,Missing,0
447,2010.0,Hinarchi,Hinarchi,Ephemeral,36.042964,74.570562,2637.0,36.013842,74.543607,2281.0,Supraglacial,0,Pakistan,Gilgit - Baltistan,Bagrot,Missing,Missing,Missing,1
448,2010.0,Dubani,Dubani,Ephemeral,35.93,74.609,4121.0,36.25575128013085,74.28681623205922,2357.9821625344352,Supraglacial,0,Pakistan,Gilgit - Baltistan,Bagrot,Missing,Missing,Missing,1
449,2010.0,Bindo Gol,Bindo,Ephemeral,36.174,71.898,4572.0,36.151,71.939,3263.0,Moraine dammed,1,Pakistan,Khyber Pakhtunkhwa,Chitral,Missing,Missing,Missing,1
450,2010.0,Unna,Unna,Ephemeral,36.039,74.633,3312.0,36.012126,74.541862,2276.0,Moraine dammed,0,Pakistan,Gilgit - Baltistan,Bagrot,Missing,Missing,Missing,1
451,2010.0,Booni Gol,Booni Gol,No lake,36.194,72.3,3514.0,36.268,72.238,1990.0,Water pocket,1,Pakistan,Chitral,Chitral,Missing,Missing,Missing,0
452,2011.0,Central Rimo,Central Rimo,GL077605E35421N,35.418,77.606,5100.0,31.86867561077236,79.36755386890243,2989.442073170732,Ice dammed,1,India,Ladakh,Shyok,Surging glacier,Missing,Missing,1
