GF_ID,Year_approx,Year_exact,Month,Day,Lake_name,Glacier_name,GL_ID,LakeDB_ID,G_ID,Lat_lake,Lon_lake,Elev_lake,Lat_impact,Lon_impact,Elev_impact,Impact_type,Lake_type,Transboundary,Repeat,Region_RGI,Region_HiMAP,Country,Province,River_Basin,Driver_lake,Driver_GLOF,Mechanism,Area,Volume,Discharge_water,Discharge_solid,Impact,Lives_total,Lives_male,Lives_female,Lives_disabilities,Injured_total,Injured_male,Injured_female,Injured_disabilities,Displaced_total,Displaced_male,Displaced_female,Displaced_disabilities,Livestock,Residential_destroyed,Commerical_destroyed,Residential_damaged,Commerical_damaged,Infra,Agricultural,Hydropower,Econ_damage,Sat_evidence,Ref_scientific,Ref_scientific_full,Ref_other,Remarks
439,2009,2009,4,29,Tshojo Tsho,Tshojo ,Ephemeral,NA,G090157E28136N,28.055,90.146,4040,28.05,90.14,3898,Observation,Supraglacial,Y,N,15_2,12,Bhutan,Punakha,Pho Chhu ,NA,NA,Ice core thawing,NA,500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Komori et al., 2012; Carrivick and Tweed, 2016; Veh et al., 2019)","Komori, J., Koike, T., Yamanokuchi, T., Tshering, P., 2012. Glacial Lake Outburst Events in the Bhutan Himalayas. Global Environmental Research 16, 59NA70; Carrivick, J.L., Tweed, F.S., 2016. A global assessment of the societal impacts of glacier outburst floods. Global and Planetary Change 144, 1NA16; Veh, G., Korup, O., von Specht, S., Roessner, S., Walz, A., 2019. Unchanged frequency of moraine-dammed glacial lake outburst floods in the Himalaya. Nature Climate Change 9, 379NA383. https://doi.org/10.1038/s41558-019-0437-5",NA,NA
450,2010,2010,NA,NA,Merzbacher,Southern Inylshek,GL079841E42200N,2,G080193E42063N,42.196,79.847,3271,NA,NA,NA,NA,Ice dammed,N,Y,13_3,3,Kyrgyzstan,NA,Inylchek,NA,NA,Subglacial tunnel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Shangguan et al., 2017)","Shangguan, D., Ding, Y., Liu, S., Xie, Z., Pieczonka, T., Xu, J., Moldobekov, B., 2017. Quick Release of Internal Water Storage in a Glacier Leads to Underestimation of the Hazard Potential of Glacial Lake Outburst Floods From Lake Merzbacher in Central Tian Shan Mountains. Geophysical Research Letters 44, 9786NA9795. https://doi.org/10.1002/2017GL074443",NA,NA
447,2010,2010,NA,NA,NA,Kuturgansuu,Ephemeral,NA,G074608E42515N,42.522,74.609,3470,42.535,74.658,2170,Deposit,Moraine dammed,N,Y,13_3,4,Kyrgyzstan,NA,Alamedin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Zaginaev et al., 2019)","Zaginaev, V., Petrakov, D., Erokhin, S., Meleshko, A., Stoffel, M., Ballesteros-CNAnovas, J.A., 2019. Geomorphic control on regional glacier lake outburst flood and debris flow activity over northern Tien Shan. Global and Planetary Change 176, 50NA59. https://doi.org/10.1016/j.gloplacha.2019.03.003",NA,NA
449,2010,2010,10,8,Chorog,NA,GL078485E33033N,"2, 3, 4",G078471E33043N,33.033,78.484,5766,33.193,78.61,4151,Observation,Moraine dammed,Y,N,14_3,10,India,Ladakh,Upper Indus,NA,High temperatures,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Ikeda, Narama and Gyalson, 2016) "," Ikeda, N., Narama, C., Gyalson, S., 2016. Knowledge Sharing for Disaster Risk Reduction: Insights from a Glacier Lake Workshop in the Ladakh Region, Indian Himalayas. mred 36, 31NA40. https://doi.org/10.1659/MRD-JOURNAL-D-15-00035.1",https://ui.adsabs.harvard.edu/abs/2016EGUGA..1818019S/abstract; https://cdn.cseindia.org/userfiles/TM_Presentation.pdf,"No details given, GLOF traceable from satellite imagery"
451,2010,2010,NA,NA,Geiqu,NA,GL087985E27952N,"2, 3, 4",G087969E27938N,27.951215,87.98544,5492,28.002,87.952,4845,Observation,Moraine dammed,Y,N,15_2,11,China,TAR,Pumqu,NA,Intense rainfall,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roads and a bridge were damaged ,NA,NA,NA,NA,"(Yao et al., 2014; Nie et al., 2018; Veh et al., 2019)","Yao, X.J., Liu, S.Y., Sun, M.P., Zhang, X.J., 2014. Study on the glacial lake outburst flood events in Tibet since the 20th century. Journal of Natural Resources 29(8), 1377NA1390. http://www.jnr.ac.cn/EN/10.11849/zrzyxb.2014.08.010; Nie, Y., Liu, Q., Wang, J., Zhang, Y., Sheng, Y., Liu, S., 2018. An inventory of historical glacial lake outburst floods in the Himalayas based on remote sensing observations and geomorphological analysis. Geomorphology 308, 91NA106. https://doi.org/10.1016/j.geomorph.2018.02.002; Veh, G., Korup, O., von Specht, S., Roessner, S., Walz, A., 2019. Unchanged frequency of moraine-dammed glacial lake outburst floods in the Himalaya. Nature Climate Change 9, 379NA383. https://doi.org/10.1038/s41558-019-0437-5",NA,"GLOF was reported by Yao et al., 2014 based on the field surveys done in 2009 and 2011. Outburst occurred between 24 June and 28 July 2010 using Huanjing 1A?B imagery"
444,2010,2010,NA,NA,NA,Hundur,Ephemeral,NA,G073358E36561N,36.546,73.353,4000,36.515414,73.420923,2495,Observation,Supraglacial,N,N,14_2,9,Pakistan,Gilgit - Baltistan,Yasin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(This study),NA,personal communication from local villagers,NA
445,2010,2010,NA,NA,NA,Hinarchi,NULL,NA,G074582E36116N,36.042964,74.570562,2637,36.013842,74.543607,2281,Observation,Supraglacial,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Bagrot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,+,NA,NA,NA,(This study),"Ashraf, A., Naz, R., Mustafa, N., Iqbal, M.B., Ahmad, B., Jawad, A., Ahmad. I., 2015. Updating GLOF Lake Inventory of Northern Pakistan and Establishment of Community Based Early Warning System in Bagrot and Bondo Gol Valleys. Technical Report. Islamabad, Pakistan: Pakistan Agricultural Research Council (PARC).","(Ashraf et al., 2015)",On 11th December 2012 a community exchange documented this event. Hinarchi Glacier burst resulting complete damage to natural forest and agriculture land of villages Bulchi and Chira.
446,2010,2010,NA,NA,NA,Dubani,NULL,NA,G074629E35951N,35.93,74.609,4121,NA,NA,NA,NA,Supraglacial,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Bagrot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,+,NA,NA,NA,(This study),"Ashraf, A., Naz, R., Mustafa, N., Iqbal, M.B., Ahmad, B., Jawad, A., Ahmad. I., 2015. Updating GLOF Lake Inventory of Northern Pakistan and Establishment of Community Based Early Warning System in Bagrot and Bondo Gol Valleys. Technical Report. Islamabad, Pakistan: Pakistan Agricultural Research Council (PARC).","(Ashraf et al., 2015)",On 11th December 2012 a community exchange documented this event. A huge damage occurred to natural forest as well as the settlements of village Taisote and Massingot.  
442,2010,2010,7,28,Bindo Gol,Bindo,Ephemeral,NA,G071865E36195N,36.174,71.898,4572,36.151,71.939,3263,Observation,NA,Y,Y,14_1,8,Pakistan,Khyber Pakhtunkhwa,Chitral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,"Communication links, Orchards and agricultural land",NA,NA,NA,NA,(This study),NA,https://unfccc.int/files/cooperation_and_support/financial_mechanism/standing_committee/application/pdf/s8.2_2_syed.pdf; https://reliefweb.int/report/pakistan/undp-inaugurates-project-protect-remote-communities-glacial-flooding;  https://www.thethirdpole.net/en/climate/glacier-floods-cause-humanitarian-crisis-in-chitral/,NA
448,2010,2010,NA,NA,NA,Unna,NULL,NA,G074654E36075N,36.039,74.633,3312,36.012126,74.541862,2276,Observation,NA,N,Y,14_2,9,Pakistan,Gilgit - Baltistan,Bagrot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,NA,NA,NA,NA,+,NA,NA,NA,(This study),"Ashraf, A., Naz, R., Mustafa, N., Iqbal, M.B., Ahmad, B., Jawad, A., Ahmad. I., 2015. Updating GLOF Lake Inventory of Northern Pakistan and Establishment of Community Based Early Warning System in Bagrot and Bondo Gol Valleys. Technical Report. Islamabad, Pakistan: Pakistan Agricultural Research Council (PARC).","(Ashraf et al., 2015)","On 11th December 2012 a community exchange documented this event. Unna Glacial lake burst causing heavy flood in Boipher caused damage to natural forest and the settlements of Sat, Dar, Ghosonar, Chira and Bulchi villages."
